Year	FAGEstart	FAGEwidth	MAGEstart	MAGEwidth	SEXstart	SEXwidth	Wtstart	Wtwidth	wtop
1969	69	2	41	2	35	1	1	1	2*count
1970	69	2	41	2	35	1	1	1	2*count
1971	69	2	41	2	35	1	1	1	2*count
1972	69	2	41	2	35	1	208	1	sum
1973	69	2	41	2	35	1	208	1	sum
1974	69	2	41	2	35	1	208	1	sum
1975	69	2	41	2	35	1	208	1	sum
1976	69	2	41	2	35	1	208	1	sum
1977	69	2	41	2	35	1	208	1	sum
1978	69	2	41	2	35	1	208	1	sum
1979	69	2	41	2	35	1	208	1	sum
1980	69	2	41	2	35	1	208	1	sum
1981	69	2	41	2	35	1	208	1	sum
1982	69	2	41	2	35	1	208	1	sum
1983	69	2	41	2	35	1	208	1	sum
1984	69	2	41	2	35	1	208	1	sum
1985	69	2	41	2	35	1	208	1	sum
1986	69	2	41	2	35	1	208	1	sum
1987	69	2	41	2	35	1	208	1	sum
1988	69	2	41	2	35	1	208	1	sum
1989	154	2	70	2	189	1	7	1	sum
1990	154	2	70	2	189	1	7	1	sum
1991	154	2	70	2	189	1	7	1	sum
1992	154	2	70	2	189	1	7	1	sum
1993	154	2	70	2	189	1	7	1	sum
1994	154	2	70	2	189	1	7	1	sum
1995	154	2	70	2	189	1	7	1	sum
1996	154	2	70	2	189	1	7	1	sum
1997	154	2	70	2	189	1	7	1	sum
1998	154	2	70	2	189	1	7	1	sum
1999	154	2	70	2	189	1	7	1	sum
2000	154	2	70	2	189	1	7	1	sum
2001	154	2	70	2	189	1	7	1	sum
2002	154	2	70	2	189	1	7	1	sum
2003	184	2	89	2	436	1	8	1	count
2004	184	2	89	2	436	1	8	1	count
2005	184	2	89	2	436	1	8	1	count
2006	184	2	89	2	436	1	15	4	count
2007	184	2	89	2	436	1	15	4	count
2008	184	2	89	2	436	1	15	4	count
2009	184	2	89	2	436	1	15	4	count
2010	184	2	89	2	436	1	15	4	count
